GyZ,GyY,GyX,Tmp,AcZ,AcY,AcX
7.9,110.5,-397.95,25.90411,-16.19922,89.59999,-3.600006
8.9,116.4,-400.6,25.92529,-11.19922,68.4,-4.599976
6.7,113.1,-395.2,25.87117,-34.40039,50.59999,-0.6000061
6.3,105.95,-394.5,25.92765,-26.0,81.40001,-25.60004
3.15,115.1,-396.6,25.88765,-41.39844,57.0,11.20001
8.95,114.45,-398.1,25.91353,-54.59961,54.59999,-7.999969
12.1,109.2,-396.35,25.88294,-32.60156,33.60001,20.79999
4.45,114.7,-397.25,25.96764,-32.59961,44.2,-16.20001
9.199999,111.45,-396.35,25.9253,-55.0,68.2,-14.20001
8.900001,109.9,-397.45,25.95353,-28.59961,61.39999,20.39999
7.85,109.75,-398.85,25.96059,-47.0,72.8,-4.800018
7.45,111.45,-401.8,25.94647,-33.59961,54.60001,3.0
4.75,113.7,-401.05,25.96529,-12.59961,57.59999,6.800018
4.85,111.7,-396.15,26.02882,-25.40039,52.79999,1.400024
4.45,116.7,-397.6,25.94177,-38.80078,68.80001,2.600037
16.0,111.35,-398.15,25.92529,-45.59961,65.60002,2.200012
5.7,112.35,-399.75,25.89941,-9.599609,62.60001,-12.60001
11.75,114.5,-397.45,25.92294,-41.00195,69.4,25.59998
1.7,113.4,-397.1,25.88294,-83.59962,53.0,-17.60001
6.55,121.7,-397.8,25.89,-37.80078,61.2,11.20001
11.95,115.3,-402.85,25.91823,-45.40039,45.0,24.80002
8.549999,117.3,-398.4,25.91117,-47.80078,45.99998,9.399994
4.2,114.75,-402.15,25.97706,-30.80273,49.40001,14.40006
6.25,111.25,-398.85,25.96058,-10.19922,59.79999,5.000031
8.950001,112.1,-398.2,25.97706,-34.39844,51.59999,9.200043
8.400002,115.9,-394.2,25.87588,-27.80078,41.40001,10.99997
9.3,112.35,-399.4,25.97236,-38.40039,50.60002,3.399994
5.600001,111.85,-397.75,25.87588,-19.0,41.99998,11.39999
6.4,116.05,-400.1501,25.91823,-5.800781,56.39999,-9.799988
6.5,110.3,-397.15,25.90176,-34.40039,44.2,14.59998
7.45,110.2,-398.35,25.89941,-34.59961,57.8,0.0
8.75,113.95,-396.6,25.92529,-24.00195,53.0,0.2000122
6.55,117.55,-395.3499,25.92294,-29.79883,70.0,8.000031
8.35,110.9,-400.55,25.93,-21.19922,55.8,18.60004
4.75,111.9,-395.35,25.97,-24.59961,27.20001,-14.60001
5.05,111.35,-399.55,25.89941,-19.80078,51.59999,-6.999969
12.1,114.55,-400.05,25.91588,-26.80078,75.60002,18.39999
5.199999,114.7,-399.0,25.87588,-21.39844,44.8,22.00003
6.2,115.75,-397.1499,25.92294,-31.39844,36.0,7.399994
6.400001,110.65,-397.7,25.88765,-7.201172,44.79999,-5.0
6.8,110.8,-400.35,25.92765,-34.19922,47.8,9.399963
4.5,113.95,-396.15,25.93706,-24.79883,54.59999,2.199982
7.399999,111.15,-396.7,25.88764,-29.0,49.60001,10.59998
10.9,115.2,-399.75,26.00765,-21.0,59.0,-17.20001
4.9,105.3,-400.2,25.92294,-15.80078,56.79999,-14.39999
6.2,112.95,-398.6,25.88059,-21.0,37.2,30.0
9.449999,112.05,-401.6,25.93235,-40.60156,42.00002,5.600037
